Độ khó, Câu hỏi
Ghi Nhớ, Định nghĩa tập hợp là gì
Ghi Nhớ, Một phần tử thuộc tập hợp được ký hiệu như thế nào
Ghi Nhớ, Số lượng phần tử của tập hợp được gọi là gì
Ghi Nhớ, Phép hợp của hai tập hợp được định nghĩa như thế nào
Ghi Nhớ, Phép giao của hai tập hợp là gì
Ghi Nhớ, Phép bù của một tập hợp A trong tập hợp U là gì
Ghi Nhớ, Ký hiệu phần tử không thuộc một tập hợp là gì
Ghi Nhớ, Tập hợp rỗng là gì
Ghi Nhớ, Hai tập hợp bằng nhau khi nào
Ghi Nhớ, Quan hệ giữa hai tập hợp A và B là gì khi A là tập con của B
Ghi Nhớ, Thế nào là tập con
Ghi Nhớ, Tập hợp vô hạn được định nghĩa như thế nào
Ghi Nhớ, Phép hiệu của hai tập hợp là gì
Ghi Nhớ, Phép chia của hai số nguyên có tính chất gì
Ghi Nhớ, Một mệnh đề trong logic là gì
Ghi Nhớ, Phép tương đương logic là gì
Ghi Nhớ, Cây là gì trong lý thuyết đồ thị
Ghi Nhớ, Một đồ thị có hướng khác đồ thị vô hướng như thế nào
Ghi Nhớ, Đồ thị đầy đủ là gì
Ghi Nhớ, Khái niệm đường đi trong đồ thị là gì
Ghi Nhớ, Đồ thị liên thông là gì
Ghi Nhớ, Định lý Euler liên quan đến đồ thị là gì
Ghi Nhớ, Thế nào là đồ thị phẳng
Ghi Nhớ, Định nghĩa đỉnh và cạnh trong đồ thị
Ghi Nhớ, Bậc của một đỉnh trong đồ thị là gì
Ghi Nhớ, Một đồ thị được gọi là đơn khi nào
Ghi Nhớ, Khi nào một đồ thị được gọi là liên thông
Ghi Nhớ, Đồ thị có hướng có những loại cạnh nào
Ghi Nhớ, Cây khung nhỏ nhất là gì
Ghi Nhớ, Đồ thị Hamilton là gì
Ghi Nhớ, Đồ thị Euler là gì
Ghi Nhớ, Ma trận kề của một đồ thị được định nghĩa như thế nào
Ghi Nhớ, Định nghĩa đường đi Hamilton
Ghi Nhớ, Đồ thị có chu trình Euler khác đồ thị không chu trình như thế nào
Ghi Nhớ, Đồ thị hai phía là gì
Ghi Nhớ, Định nghĩa đồ thị liên thông yếu
Ghi Nhớ, Đồ thị đơn giản có những đặc điểm gì
Ghi Nhớ, Sự khác nhau giữa đồ thị định hướng và đồ thị không định hướng
Ghi Nhớ, Đồ thị có trọng số là gì
Ghi Nhớ, Đồ thị đầy đủ khác đồ thị không đầy đủ ở điểm nào
Ghi Nhớ, Khái niệm tập hợp con của một tập hợp là gì
Ghi Nhớ, Một tập hợp có thể có bao nhiêu tập hợp con
Ghi Nhớ, Sự khác nhau giữa tập hợp hữu hạn và tập hợp vô hạn
Ghi Nhớ, Phép bù của một tập hợp trong tập hợp khác được tính như thế nào
Ghi Nhớ, Khái niệm đối ngẫu trong lý thuyết tập hợp là gì
Ghi Nhớ, Hàm đồng nhất trong lý thuyết hàm là gì
Ghi Nhớ, Mệnh đề logic được biểu diễn như thế nào trong toán học
Ghi Nhớ, Phép hội giữa hai mệnh đề được định nghĩa như thế nào
Ghi Nhớ, Phép giao giữa hai mệnh đề khác phép hội ở điểm nào
Ghi Nhớ, Một hàm Boolean có các giá trị đầu vào và đầu ra như thế nào
Ghi Nhớ, Định nghĩa phép phủ định trong logic mệnh đề
Ghi Nhớ, Hàm Boolean có thể biểu diễn qua bảng chân lý như thế nào
Ghi Nhớ, Biểu đồ Venn trong lý thuyết tập hợp được sử dụng để làm gì
Ghi Nhớ, Sự khác nhau giữa một mệnh đề và một phát biểu là gì
Ghi Nhớ, Khi nào hai mệnh đề được gọi là tương đương logic
Ghi Nhớ, Hệ quả của một mệnh đề được định nghĩa như thế nào
Ghi Nhớ, Hàm lũy thừa trong toán học được biểu diễn như thế nào
Ghi Nhớ, Định nghĩa phép hợp mệnh đề
Ghi Nhớ, Phép kéo theo logic là gì
Ghi Nhớ, Thế nào là một mệnh đề hằng đúng
Ghi Nhớ, Thế nào là một mệnh đề hằng sai
Ghi Nhớ, Phép bắc cầu trong logic được định nghĩa như thế nào
Ghi Nhớ, Phép và trong logic được định nghĩa như thế nào
Ghi Nhớ, Một đồ thị liên thông được định nghĩa như thế nào
Ghi Nhớ, Đồ thị có hướng được biểu diễn dưới dạng ma trận như thế nào
Ghi Nhớ, Số lượng đỉnh và cạnh trong một đồ thị được tính như thế nào
Ghi Nhớ, Đồ thị phẳng có những đặc điểm gì
Ghi Nhớ, Khi nào một đồ thị được gọi là Eulerian
Ghi Nhớ, Đồ thị có chu trình khác đồ thị không chu trình như thế nào
Ghi Nhớ, Định nghĩa chu trình Hamilton
Ghi Nhớ, Đồ thị Hamiltonian có những đặc điểm gì
Ghi Nhớ, Một cây khung trong đồ thị được định nghĩa như thế nào
Ghi Nhớ, Phép phủ định trong logic mệnh đề là gì
Ghi Nhớ, Đường đi ngắn nhất trong một đồ thị có trọng số được tìm như thế nào
Ghi Nhớ, Định nghĩa của thuật toán tìm kiếm sâu là gì
Ghi Nhớ, Định nghĩa của thuật toán tìm kiếm rộng là gì
Ghi Nhớ, Phép hợp của hai tập hợp khác phép giao ở điểm nào
Ghi Nhớ, Thế nào là một đồ thị phân đôi
Ghi Nhớ, Khái niệm tập con tối đa trong lý thuyết tập hợp là gì
Ghi Nhớ, Hàm hợp trong toán học được định nghĩa như thế nào
Ghi Nhớ, Một mệnh đề phức hợp được tạo ra như thế nào
Ghi Nhớ, Định lý Fermat nhỏ trong lý thuyết số là gì
Ghi Nhớ, Thế nào là một hệ thống số dư Trung Quốc
Ghi Nhớ, Khái niệm phép tính mô-đun trong lý thuyết số là gì
Ghi Nhớ, Định nghĩa của số nguyên tố là gì
Ghi Nhớ, Phép nhân modulo trong lý thuyết số hoạt động như thế nào
Ghi Nhớ, Định nghĩa của đồ thị có hướng liên thông yếu
Ghi Nhớ, Định nghĩa của một đồ thị hai phía là gì
Ghi Nhớ, Khi nào một đồ thị được gọi là cây
Ghi Nhớ, Đồ thị đầy đủ có bao nhiêu cạnh
Ghi Nhớ, Đồ thị có chu trình Euler có điều kiện gì
Ghi Nhớ, Đồ thị liên thông yếu khác đồ thị liên thông mạnh như thế nào
Ghi Nhớ, Khái niệm của một tập hợp bao gồm các phần tử giống nhau là gì
Ghi Nhớ, Định nghĩa của đồ thị phẳng
Ghi Nhớ, Tính chất của một tập hợp là gì
Ghi Nhớ, Tập con của tập hợp A là gì
Ghi Nhớ, Tập hợp khác rỗng là gì
Ghi Nhớ, Tập hợp B là con của A khi nào
Ghi Nhớ, Định nghĩa phép hợp của ba tập hợp
Ghi Nhớ, Phép giao của ba tập hợp được tính như thế nào
Ghi Nhớ, Số lượng phần tử của một tập hợp rỗng là bao nhiêu
Ghi Nhớ, Tập hợp A và tập hợp B là tương đương khi nào
Ghi Nhớ, Khi nào hai đồ thị được gọi là đẳng cấu
Ghi Nhớ, Phép tính bậc của một đồ thị được xác định như thế nào
Ghi Nhớ, Đồ thị Eulerian có điều kiện gì
Ghi Nhớ, Sự khác nhau giữa đồ thị Eulerian và đồ thị Hamiltonian
Ghi Nhớ, Định nghĩa của cây khung tối thiểu
Ghi Nhớ, Khi nào một đồ thị được gọi là đồ thị đầy đủ
Ghi Nhớ, Đồ thị liên thông có bao nhiêu cạnh
Ghi Nhớ, Đồ thị hai phía là gì
Ghi Nhớ, Đồ thị có trọng số khác đồ thị không có trọng số như thế nào
Ghi Nhớ, Đồ thị định hướng có thể biểu diễn dưới dạng ma trận như thế nào
Ghi Nhớ, Định nghĩa đường đi trong đồ thị
Ghi Nhớ, Khái niệm tập hợp con tối đa
Ghi Nhớ, Định nghĩa của thuật toán tìm kiếm sâu
Ghi Nhớ, Thuật toán tìm kiếm rộng khác thuật toán tìm kiếm sâu như thế nào
Ghi Nhớ, Đồ thị đầy đủ có bao nhiêu cạnh
Ghi Nhớ, Đồ thị phẳng có điều kiện gì
Ghi Nhớ, Một cây có bao nhiêu đỉnh
Ghi Nhớ, Chu trình Hamilton là gì
Ghi Nhớ, Khi nào một đồ thị được gọi là đơn
Ghi Nhớ, Một đồ thị đơn có bao nhiêu cạnh
Ghi Nhớ, Ma trận kề của một đồ thị là gì
Ghi Nhớ, Phép giao của hai đồ thị là gì
Ghi Nhớ, Cây có hướng khác cây vô hướng như thế nào
Ghi Nhớ, Đồ thị có hướng liên thông mạnh là gì
Ghi Nhớ, Định nghĩa của một hàm Boolean
Ghi Nhớ, Phép hợp của hai hàm Boolean là gì
Ghi Nhớ, Một đồ thị liên thông mạnh khác liên thông yếu như thế nào
Ghi Nhớ, Định nghĩa của một chu trình trong đồ thị
